============================================================
nanochat base_train
============================================================
COMPUTE_DTYPE: torch.float32 (auto-detected: no CUDA (CPU/MPS))
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/keef/.netrc.
wandb: Currently logged in as: kwizzlesurp10 (kwizzlesurp10-sevtech) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run kwsklty4
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/keef/nanochatkwizzle/wandb/run-20260321_193133-kwsklty4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run browser_verify_base
wandb: ⭐️ View project at https://wandb.ai/kwizzlesurp10-sevtech/nanochat
wandb: 🚀 View run at https://wandb.ai/kwizzlesurp10-sevtech/nanochat/runs/kwsklty4
Attention: PyTorch SDPA (FA3 is optional; Hopper sm90+ + bf16 enables it). Training is supported on this GPU.
Using --window-pattern L (requested 'SSSL' coerced for SDPA — full-context attention is much faster than sliding-window masks here).
Vocab size: 32,768
Model config:
{
  "sequence_len": 256,
  "vocab_size": 32768,
  "n_layer": 2,
  "n_head": 1,
  "n_kv_head": 1,
  "n_embd": 64,
  "dropout": 0.1,
  "lora_rank": 0,
  "lora_alpha": 16,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 2,097,152
value_embeds            : 2,097,152
lm_head                 : 2,097,152
transformer_matrices    : 98,316
scalars                 : 30
total                   : 6,389,802
Estimated FLOPs per token: 1.356602e+07
Scaling LRs by 0.1250 for batch size 8,192 (reference: 524,288)
Scaling weight decay from 0.100000 to 0.066046 for depth 2
Scaling the LR for the AdamW parameters ∝1/√(64/768) = 3.464102
Using user-provided number of iterations: 100
Total number of training tokens: 819,200
Tokens : Scaling params ratio: 0.37
Total training FLOPs estimate: 1.111329e+13
Tokens / micro-batch / rank: 4 x 256 = 1,024
Tokens / micro-batch: 1,024
Total batch size 8,192 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.162127
step 00000/00100 (0.00%) | loss: 10.396631 | lrm: 0.00 | dt: 16832.11ms | tok/sec: 486 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00100 (1.00%) | loss: 10.396696 | lrm: 0.00 | dt: 2017.37ms | tok/sec: 4,060 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/00100 (2.00%) | loss: 10.396878 | lrm: 0.00 | dt: 1921.46ms | tok/sec: 4,263 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/00100 (3.00%) | loss: 10.397019 | lrm: 0.00 | dt: 1756.34ms | tok/sec: 4,664 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/00100 (4.00%) | loss: 10.397021 | lrm: 0.00 | dt: 1624.40ms | tok/sec: 5,043 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00005/00100 (5.00%) | loss: 10.397088 | lrm: 0.00 | dt: 1895.66ms | tok/sec: 4,321 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00006/00100 (6.00%) | loss: 10.397203 | lrm: 0.00 | dt: 2011.35ms | tok/sec: 4,072 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00007/00100 (7.00%) | loss: 10.397179 | lrm: 0.00 | dt: 1681.87ms | tok/sec: 4,870 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00008/00100 (8.00%) | loss: 10.397222 | lrm: 0.00 | dt: 1651.04ms | tok/sec: 4,961 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00009/00100 (9.00%) | loss: 10.397237 | lrm: 0.01 | dt: 1639.67ms | tok/sec: 4,996 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00010/00100 (10.00%) | loss: 10.397203 | lrm: 0.01 | dt: 1997.79ms | tok/sec: 4,100 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00032/00100 (32.00%) | loss: 10.397111 | lrm: 0.02 | dt: 1641.21ms | tok/sec: 4,991 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.64m | eta: 2.0m
step 00033/00100 (33.00%) | loss: 10.397154 | lrm: 0.02 | dt: 1762.24ms | tok/sec: 4,648 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.67m | eta: 1.9m
step 00034/00100 (34.00%) | loss: 10.397192 | lrm: 0.02 | dt: 1878.39ms | tok/sec: 4,361 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.70m | eta: 1.9m
step 00035/00100 (35.00%) | loss: 10.397188 | lrm: 0.02 | dt: 1673.39ms | tok/sec: 4,895 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.73m | eta: 1.9m
step 00036/00100 (36.00%) | loss: 10.397178 | lrm: 0.02 | dt: 1642.70ms | tok/sec: 4,986 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.75m | eta: 1.9m
step 00037/00100 (37.00%) | loss: 10.397142 | lrm: 0.02 | dt: 1787.92ms | tok/sec: 4,581 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.78m | eta: 1.8m
step 00038/00100 (38.00%) | loss: 10.397173 | lrm: 0.02 | dt: 1907.61ms | tok/sec: 4,294 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.81m | eta: 1.8m
step 00039/00100 (39.00%) | loss: 10.397167 | lrm: 0.02 | dt: 1807.10ms | tok/sec: 4,533 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.84m | eta: 1.8m
step 00040/00100 (40.00%) | loss: 10.397148 | lrm: 0.02 | dt: 1693.73ms | tok/sec: 4,836 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.87m | eta: 1.7m
step 00041/00100 (41.00%) | loss: 10.397134 | lrm: 0.02 | dt: 1658.40ms | tok/sec: 4,939 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.90m | eta: 1.7m
step 00042/00100 (42.00%) | loss: 10.397145 | lrm: 0.02 | dt: 2116.86ms | tok/sec: 3,869 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.94m | eta: 1.7m
step 00043/00100 (43.00%) | loss: 10.397135 | lrm: 0.02 | dt: 1893.09ms | tok/sec: 4,327 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.97m | eta: 1.7m
step 00044/00100 (44.00%) | loss: 10.397148 | lrm: 0.02 | dt: 1676.97ms | tok/sec: 4,885 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.00m | eta: 1.6m
step 00045/00100 (45.00%) | loss: 10.397133 | lrm: 0.02 | dt: 1600.35ms | tok/sec: 5,118 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.02m | eta: 1.6m
step 00046/00100 (46.00%) | loss: 10.397071 | lrm: 0.02 | dt: 1834.49ms | tok/sec: 4,465 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.05m | eta: 1.6m
step 00047/00100 (47.00%) | loss: 10.397039 | lrm: 0.02 | dt: 1988.58ms | tok/sec: 4,119 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.09m | eta: 1.6m
step 00048/00100 (48.00%) | loss: 10.397042 | lrm: 0.02 | dt: 1681.29ms | tok/sec: 4,872 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.11m | eta: 1.5m
step 00049/00100 (49.00%) | loss: 10.397074 | lrm: 0.03 | dt: 1643.46ms | tok/sec: 4,984 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.14m | eta: 1.5m
Step 00050 | Validation bpb: 3.162057
step 00050/00100 (50.00%) | loss: 10.397090 | lrm: 0.03 | dt: 1767.40ms | tok/sec: 4,635 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 1.17m | eta: 1.5m
step 00051/00100 (51.00%) | loss: 10.397044 | lrm: 0.03 | dt: 1979.07ms | tok/sec: 4,139 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.20m | eta: 1.4m
step 00052/00100 (52.00%) | loss: 10.397043 | lrm: 0.03 | dt: 1792.42ms | tok/sec: 4,570 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.23m | eta: 1.4m
step 00053/00100 (53.00%) | loss: 10.397047 | lrm: 0.03 | dt: 1585.04ms | tok/sec: 5,168 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.26m | eta: 1.4m
step 00054/00100 (54.00%) | loss: 10.397044 | lrm: 0.03 | dt: 1636.21ms | tok/sec: 5,006 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.29m | eta: 1.3m
step 00055/00100 (55.00%) | loss: 10.397067 | lrm: 0.03 | dt: 1844.38ms | tok/sec: 4,441 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.32m | eta: 1.3m
step 00056/00100 (56.00%) | loss: 10.397065 | lrm: 0.03 | dt: 1885.51ms | tok/sec: 4,344 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.35m | eta: 1.3m
step 00057/00100 (57.00%) | loss: 10.397041 | lrm: 0.03 | dt: 1659.67ms | tok/sec: 4,935 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.38m | eta: 1.3m
step 00058/00100 (58.00%) | loss: 10.397060 | lrm: 0.03 | dt: 1694.70ms | tok/sec: 4,833 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.41m | eta: 1.2m
step 00059/00100 (59.00%) | loss: 10.397049 | lrm: 0.03 | dt: 1660.98ms | tok/sec: 4,932 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.43m | eta: 1.2m
step 00060/00100 (60.00%) | loss: 10.397020 | lrm: 0.03 | dt: 1942.31ms | tok/sec: 4,217 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.47m | eta: 1.2m
step 00061/00100 (61.00%) | loss: 10.397031 | lrm: 0.03 | dt: 1930.61ms | tok/sec: 4,243 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.50m | eta: 1.1m
step 00062/00100 (62.00%) | loss: 10.397015 | lrm: 0.03 | dt: 2080.26ms | tok/sec: 3,937 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.53m | eta: 1.1m
step 00063/00100 (63.00%) | loss: 10.397017 | lrm: 0.03 | dt: 2000.87ms | tok/sec: 4,094 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.57m | eta: 1.1m
step 00064/00100 (64.00%) | loss: 10.396992 | lrm: 0.03 | dt: 1916.82ms | tok/sec: 4,273 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.60m | eta: 1.1m
step 00065/00100 (65.00%) | loss: 10.396956 | lrm: 0.03 | dt: 2046.00ms | tok/sec: 4,003 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.63m | eta: 1.0m
step 00066/00100 (66.00%) | loss: 10.396934 | lrm: 0.03 | dt: 1668.18ms | tok/sec: 4,910 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.66m | eta: 1.0m
step 00067/00100 (67.00%) | loss: 10.396924 | lrm: 0.03 | dt: 1612.86ms | tok/sec: 5,079 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.69m | eta: 1.0m
step 00068/00100 (68.00%) | loss: 10.396906 | lrm: 0.03 | dt: 1755.13ms | tok/sec: 4,667 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.72m | eta: 0.9m
step 00069/00100 (69.00%) | loss: 10.396938 | lrm: 0.04 | dt: 1957.21ms | tok/sec: 4,185 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.75m | eta: 0.9m
step 00070/00100 (70.00%) | loss: 10.396902 | lrm: 0.04 | dt: 2066.10ms | tok/sec: 3,964 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.78m | eta: 0.9m
step 00071/00100 (71.00%) | loss: 10.396918 | lrm: 0.04 | dt: 1902.84ms | tok/sec: 4,305 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.81m | eta: 0.9m
step 00072/00100 (72.00%) | loss: 10.396862 | lrm: 0.04 | dt: 1819.93ms | tok/sec: 4,501 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.84m | eta: 0.8m
step 00073/00100 (73.00%) | loss: 10.396841 | lrm: 0.04 | dt: 1867.02ms | tok/sec: 4,387 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.88m | eta: 0.8m
step 00074/00100 (74.00%) | loss: 10.396839 | lrm: 0.04 | dt: 2042.78ms | tok/sec: 4,010 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.91m | eta: 0.8m
step 00075/00100 (75.00%) | loss: 10.396855 | lrm: 0.04 | dt: 1762.02ms | tok/sec: 4,649 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.94m | eta: 0.7m
step 00076/00100 (76.00%) | loss: 10.396839 | lrm: 0.04 | dt: 1798.47ms | tok/sec: 4,554 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 1.97m | eta: 0.7m
step 00077/00100 (77.00%) | loss: 10.396842 | lrm: 0.04 | dt: 1889.89ms | tok/sec: 4,334 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 2.00m | eta: 0.7m
step 00078/00100 (78.00%) | loss: 10.396855 | lrm: 0.04 | dt: 2112.60ms | tok/sec: 3,877 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.04m | eta: 0.7m
step 00079/00100 (79.00%) | loss: 10.396806 | lrm: 0.04 | dt: 1760.03ms | tok/sec: 4,654 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.07m | eta: 0.6m
step 00080/00100 (80.00%) | loss: 10.396812 | lrm: 0.04 | dt: 1790.32ms | tok/sec: 4,575 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.10m | eta: 0.6m
step 00081/00100 (81.00%) | loss: 10.396773 | lrm: 0.04 | dt: 1712.16ms | tok/sec: 4,784 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.12m | eta: 0.6m
step 00082/00100 (82.00%) | loss: 10.396787 | lrm: 0.04 | dt: 2192.32ms | tok/sec: 3,736 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.16m | eta: 0.5m
step 00083/00100 (83.00%) | loss: 10.396777 | lrm: 0.04 | dt: 1809.95ms | tok/sec: 4,526 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.19m | eta: 0.5m
step 00084/00100 (84.00%) | loss: 10.396756 | lrm: 0.04 | dt: 1710.77ms | tok/sec: 4,788 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.22m | eta: 0.5m
step 00085/00100 (85.00%) | loss: 10.396817 | lrm: 0.04 | dt: 1796.53ms | tok/sec: 4,559 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.25m | eta: 0.4m
step 00086/00100 (86.00%) | loss: 10.396760 | lrm: 0.04 | dt: 1823.79ms | tok/sec: 4,491 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.28m | eta: 0.4m
step 00087/00100 (87.00%) | loss: 10.396749 | lrm: 0.04 | dt: 1947.76ms | tok/sec: 4,205 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.31m | eta: 0.4m
step 00088/00100 (88.00%) | loss: 10.396707 | lrm: 0.04 | dt: 1685.90ms | tok/sec: 4,859 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.34m | eta: 0.4m
step 00089/00100 (89.00%) | loss: 10.396710 | lrm: 0.04 | dt: 1717.97ms | tok/sec: 4,768 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.37m | eta: 0.3m
step 00090/00100 (90.00%) | loss: 10.396718 | lrm: 0.05 | dt: 1920.01ms | tok/sec: 4,266 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.40m | eta: 0.3m
step 00091/00100 (91.00%) | loss: 10.396698 | lrm: 0.05 | dt: 1989.07ms | tok/sec: 4,118 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.43m | eta: 0.3m
step 00092/00100 (92.00%) | loss: 10.396707 | lrm: 0.05 | dt: 1781.81ms | tok/sec: 4,597 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.46m | eta: 0.2m
step 00093/00100 (93.00%) | loss: 10.396702 | lrm: 0.05 | dt: 1657.73ms | tok/sec: 4,941 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.49m | eta: 0.2m
step 00094/00100 (94.00%) | loss: 10.396687 | lrm: 0.05 | dt: 1745.07ms | tok/sec: 4,694 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.52m | eta: 0.2m
step 00095/00100 (95.00%) | loss: 10.396709 | lrm: 0.05 | dt: 2076.89ms | tok/sec: 3,944 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.55m | eta: 0.2m
step 00096/00100 (96.00%) | loss: 10.396739 | lrm: 0.05 | dt: 2363.57ms | tok/sec: 3,465 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.59m | eta: 0.1m
step 00097/00100 (97.00%) | loss: 10.396672 | lrm: 0.05 | dt: 1747.44ms | tok/sec: 4,688 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.62m | eta: 0.1m
step 00098/00100 (98.00%) | loss: 10.396641 | lrm: 0.05 | dt: 1758.04ms | tok/sec: 4,659 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 2.65m | eta: 0.1m
